ten_lo,ma_loai_nong_san,ma_vung_trong,san_luong_du_kien,san_luong_thuc_thu,ngay_gieo_trong,ngay_thu_hoach,hoat_dong_canh_tac,vat_tu,so_luong,don_vi,ngay_thuc_hien,ghi_chu
Lô Rau Muống Vụ 1 2026 - Dòng 1,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,510,408,02/02/2026,02/08/2026,FERTILIZING,Phân NPK 16-16-8,11,lít,02/02/2026,Ghi chú dòng 1
Lô Cà Phê Vụ 1 2026 - Dòng 2,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,520,416,03/03/2026,03/09/2026,WATERING,Thuốc trừ sâu sinh học,12,cây,03/03/2026,Ghi chú dòng 2
Lô Xoài Vụ 1 2026 - Dòng 3,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,530,424,04/04/2026,04/10/2026,PESTICIDE,,0,lan,04/04/2026,
Lô Thanh Long Vụ 1 2026 - Dòng 4,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,540,432,05/05/2026,05/11/2026,WEEDING,Phân hữu cơ vi sinh,14,trụ,05/05/2026,Ghi chú dòng 4
Lô Bưởi Vụ 1 2026 - Dòng 5,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,550,,06/06/2026,06/12/2026,HARVESTING,Hạt giống rau muống,15,kg,06/06/2026,Ghi chú dòng 5
Lô Sầu Riêng Vụ 1 2026 - Dòng 6,ba9b9b4d-2345-5678-90bc-def012345678,fb9c9c4d-6789-01cd-def0-2345678901ab,560,448,07/07/2026,07/01/2026,OTHER,,0,lan,07/07/2026,
Lô Mít Vụ 1 2026 - Dòng 7,cb0c0c5e-3456-6789-01cd-ef0123456789,fc0d0d5e-7890-12ef-ef01-3456789012bc,570,456,08/08/2026,08/02/2026,PLANTING,Cây xoài Tứ Quý,17,cây,08/08/2026,Ghi chú dòng 7
Lô Chôm Chôm Vụ 1 2026 - Dòng 8,dc1d1d6f-4567-7890-12de-fg0123456789,fd1e1e6f-8901-23fg-fg12-4567890123cd,580,464,09/09/2026,09/03/2026,FERTILIZING,Trụ thanh long,18,lan,09/09/2026,Ghi chú dòng 8
Lô Nhãn Vụ 1 2026 - Dòng 9,ed2e2e7g-5678-8901-23ef-gh0123456789,fe2f2f7g-9012-34gh-gh23-5678901234de,590,472,10/10/2026,10/04/2026,WATERING,,0,lan,10/10/2026,
Lô Lúa Vụ 1 2026 - Dòng 10,ca8c8c3b-1234-4567-89ab-cdef01234567,fa8c8c3b-5678-90ab-cdef-1234567890ab,600,,11/11/2026,11/05/2026,PESTICIDE,Giống lúa OM5451,20,kg,11/11/2026,Ghi chú dòng 10
